2021-06-21 22:06:303 INFO  BasePage :36 - Launching Chrome Browser
2021-06-21 22:06:99 INFO  BasePage :36 - Launching Chrome Browser
2021-06-21 22:06:81 INFO  BasePage :36 - Launching Chrome Browser
2021-06-21 23:06:185 INFO  BasePage :36 - Launching Chrome Browser
2021-06-21 23:06:77 INFO  BasePage :36 - Launching Chrome Browser
2021-06-21 23:06:467 INFO  BasePage :36 - Launching Chrome Browser
2021-06-21 23:06:703 INFO  BasePage :36 - Launching Chrome Browser
2021-06-21 23:06:92 INFO  BasePage :36 - Launching Chrome Browser
2021-06-21 23:06:270 INFO  BasePage :36 - Launching Chrome Browser
2021-06-21 23:06:190 INFO  BasePage :36 - Launching Chrome Browser
2021-06-22 00:06:756 INFO  BasePage :36 - Launching Chrome Browser
2021-06-22 00:06:102 INFO  BasePage :36 - Launching Chrome Browser
2021-06-22 01:06:694 INFO  BasePage :36 - Launching Chrome Browser
2021-06-22 01:06:156 INFO  BasePage :36 - Launching Chrome Browser
2021-06-22 11:06:67 INFO  BasePage :36 - Launching Chrome Browser
2021-06-22 11:06:497 INFO  BasePage :36 - Launching Chrome Browser
2021-06-22 11:06:79 INFO  BasePage :36 - Launching Chrome Browser
2021-06-22 12:06:28 INFO  BasePage :36 - Launching Chrome Browser
2021-06-22 12:06:95 INFO  BasePage :36 - Launching Chrome Browser
2021-06-22 14:06:90 INFO  BasePage :36 - Launching Chrome Browser
2021-06-22 14:06:14 INFO  HomePage :37 - click on loginlink[[ChromeDriver: chrome on WINDOWS (6ca1d1fa570e4003fca11e54b9fd4968)] -> xpath: //a[@class='ico-login']]
2021-06-22 14:06:53 INFO  LoginPage :46 - enter the email addressroot1@gmail.comsend to text on[[ChromeDriver: chrome on WINDOWS (6ca1d1fa570e4003fca11e54b9fd4968)] -> xpath: //input[@id='Email']]
2021-06-22 14:06:400 INFO  LoginPage :51 - enter the passwordiuoerlf12548send to text on[[ChromeDriver: chrome on WINDOWS (6ca1d1fa570e4003fca11e54b9fd4968)] -> xpath: //input[@id='Password']]
2021-06-22 14:06:317 INFO  LoginPage :58 - click on login button[[ChromeDriver: chrome on WINDOWS (6ca1d1fa570e4003fca11e54b9fd4968)] -> xpath: //button[@class='button-1 login-button']]
2021-06-22 14:06:363 INFO  LoginPage :62 - Getting text from Invalid message [[ChromeDriver: chrome on WINDOWS (6ca1d1fa570e4003fca11e54b9fd4968)] -> xpath: //div[@class='message-error validation-summary-errors']]
2021-06-22 14:06:791 INFO  BasePage :36 - Launching Chrome Browser
2021-06-22 14:06:232 INFO  HomePage :37 - click on loginlink[[ChromeDriver: chrome on WINDOWS (1b933e9a5a5b5a6a8b9985207217a74b)] -> xpath: //a[@class='ico-login']]
2021-06-22 14:06:314 INFO  LoginPage :41 - Gettig text from loginpage[[ChromeDriver: chrome on WINDOWS (1b933e9a5a5b5a6a8b9985207217a74b)] -> xpath: //h1[text()='Welcome, Please Sign In!']]
2021-06-22 14:06:81 INFO  BasePage :36 - Launching Chrome Browser
2021-06-22 14:06:171 INFO  HomePage :37 - click on loginlink[[ChromeDriver: chrome on WINDOWS (b94ba6a328b04b797595595f0ddbd6c7)] -> xpath: //a[@class='ico-login']]
